id,tier,legendary,background,body,eyes,mouth,headwear,neck,bling,rarity_score
630,Common,,Sage,Ocean Blue,Classic,Cigar,None,Silver Chain,,25.25
631,Common,,Slate,Deep Sea,Classic,Gold Tooth,Captain's Hat,None,,30.72
632,Common,,Slate,Classic Navy,Classic,Punk Cigarette,None,Pearl String,,26.64
633,Common,,Maroon,Ocean Blue,Laser,Cigar,None,Silver Chain,,42.42
634,Common,,Slate,Ocean Blue,Shades,None,Sailor Cap,None,,25.02
635,Uncommon,,Gold Dust,Classic Navy,Classic,Cigar,None,Pearl String,Emerald Stud|Pinky Ring,71.64
636,Common,,Maroon,Ocean Blue,Classic,None,None,None,Pinky Ring,28.03
637,Uncommon,,Charcoal,Deep Sea,Gold Monocle,Punk Cigarette,None,Silver Chain,Emerald Stud,52.98
638,Common,,Maroon,Steel,Classic,Cigar,None,None,,17.58
639,Common,,Charcoal,Deep Sea,Sleepy,Gold Tooth,None,None,,32.14
640,Common,,Sage,Classic Navy,Classic,None,Beanie,Cuban Chain,,23.21
641,Common,,Sage,Classic Navy,Classic,Cigar,Captain's Hat,Cuban Chain,,27.11
642,Common,,Maroon,Classic Navy,Classic,Punk Cigarette,Halo,None,,29.82
643,Common,,Sage,Classic Navy,Classic,Bubble Pipe,None,None,,22.37
644,Common,,Maroon,Steel,Gold Monocle,None,None,None,,23.71
645,Common,,Charcoal,Classic Navy,Classic,None,Halo,None,,25.75
646,Common,,Charcoal,Classic Navy,Classic,Cigar,Captain's Hat,Cuban Chain,,28.7
647,Common,,Maroon,Classic Navy,Classic,Cigar,None,None,Diamond Spout,30.08
648,Common,,Slate,Deep Sea,Classic,Cigar,Beanie,Cuban Chain,,32.58
649,Common,,Sand,Ocean Blue,Classic,None,Captain's Hat,Cuban Chain,,32.01
650,Common,,Slate,Steel,Sleepy,Punk Cigarette,Sailor Cap,None,,33.35
651,Common,,Sand,Steel,Abyss Glow,None,None,None,Emerald Stud,41.67
652,Common,,Slate,Ocean Blue,Classic,Punk Cigarette,None,None,,18.03
653,Common,,Sage,Steel,Gold Monocle,None,None,None,,24.72
654,Common,,Charcoal,Classic Navy,Classic,Gold Tooth,Captain's Hat,None,,27.49
655,Uncommon,,Maroon,Classic Navy,Gold Monocle,Gold Tooth,Kelp Wrap,None,Pinky Ring,57.05
656,Common,,Maroon,Steel,Classic,None,None,None,Emerald Stud,23.03
657,Common,,Slate,Classic Navy,Classic,Bubble Pipe,Captain's Hat,Cuban Chain,,34.06
658,Common,,Maroon,Steel,Classic,Punk Cigarette,Beanie,None,,28.03
659,Uncommon,,Mauve,Arctic,Laser,Gold Tooth,Beanie,None,,57.5
660,Common,,Sage,Ocean Blue,Classic,None,Beanie,None,,20.71
661,Common,,Maroon,Steel,Classic,None,Sailor Cap,None,,20.17
662,Common,,Mauve,Ocean Blue,Classic,Cigar,Kelp Wrap,Cuban Chain,Gold Watch,47.2
663,Common,,Sage,Ocean Blue,Classic,None,Sailor Cap,None,,19.52
664,Common,,Sand,Classic Navy,Shades,None,None,None,,23.33
665,Common,,Slate,Steel,Classic,Bubble Pipe,Sailor Cap,None,,32.67
666,Uncommon,,Maroon,Classic Navy,Shades,Diamond Grill,Captain's Hat,Cuban Chain,,61.4
667,Common,,Maroon,Classic Navy,Gold Monocle,Cigar,None,Cuban Chain,,29.09
668,Common,,Sage,Steel,Classic,Bubble Pipe,Kelp Wrap,None,,39.04
669,Common,,Slate,Deep Sea,Classic,Gold Tooth,Kelp Wrap,None,,35.53
670,Uncommon,,Mauve,Arctic,Sleepy,Cigar,Captain's Hat,None,Emerald Stud,51.4
671,Common,,Sage,Arctic,Abyss Glow,None,Sailor Cap,None,,37.7
672,Uncommon,,Maroon,Steel,Classic,None,Beanie,None,Coin Spout,54.7
673,Rare,,Charcoal,Gilded,Gold Monocle,Gold Tooth,Beanie,Cuban Chain,,107.98
674,Uncommon,,Maroon,Steel,Sleepy,Gold Tooth,Crown,None,,52.88
675,Common,,Sage,Steel,Shades,None,Captain's Hat,None,,28.25
676,Common,,Maroon,Classic Navy,Abyss Glow,None,None,Cuban Chain,Emerald Stud,34.55
677,Common,,Sage,Ocean Blue,Sleepy,Punk Cigarette,None,Silver Chain,,33.89
678,Common,,Mauve,Ocean Blue,Shades,None,None,Cuban Chain,,26.67
679,Common,,Charcoal,Classic Navy,Classic,None,None,Silver Chain,,19.79
680,Rare,,Slate,Classic Navy,Shades,Diamond Grill,Crown,Cuban Chain,,78.71
681,Common,,Charcoal,Steel,Classic,None,None,None,,15.63
682,Common,,Charcoal,Classic Navy,Sleepy,None,Kelp Wrap,None,Gold Watch,40.48
683,Uncommon,,Gold Dust,Deep Sea,Classic,Cigar,None,Cuban Chain,Diamond Spout,61.36
684,Common,,Sage,Ocean Blue,Classic,None,None,Cuban Chain,Pinky Ring,34.04
685,Common,,Maroon,Deep Sea,Sleepy,Gold Tooth,Captain's Hat,Silver Chain,,45.57
686,Common,,Sage,Deep Sea,Classic,None,None,None,Diamond Spout,32.37
687,Common,,Sage,Midnight Black,Classic,None,None,None,,35.95
688,Rare,,Mauve,Ocean Blue,Gold Monocle,Gold Tooth,Halo,Diamond Chain,Gold Watch,83.45
689,Uncommon,,Mauve,Classic Navy,Abyss Glow,Punk Cigarette,None,Silver Chain,Diamond Spout,55.0
690,Common,,Maroon,Deep Sea,Shades,Punk Cigarette,None,Cuban Chain,,32.88
691,Common,,Mauve,Classic Navy,Gold Monocle,None,None,Cuban Chain,,28.33
692,Rare,,Sand,Midnight Black,Classic,Punk Cigarette,Beanie,None,Diamond Spout,74.56
693,Common,,Sage,Deep Sea,Shades,None,Captain's Hat,Silver Chain,,38.25
694,Common,,Slate,Classic Navy,Classic,Punk Cigarette,Crown,Cuban Chain,,45.53
695,Common,,Slate,Classic Navy,Abyss Glow,Cigar,None,None,Diamond Spout,40.76
696,Common,,Sand,Classic Navy,Classic,None,Sailor Cap,None,,23.96
697,Common,,Sand,Classic Navy,Classic,Cigar,Captain's Hat,None,Emerald Stud,39.06
698,Rare,,Gold Dust,Gilded,Classic,Gold Tooth,Beanie,None,,110.15
699,Common,,Slate,Ocean Blue,Classic,Cigar,None,Pearl String,,27.02
700,Legendary,The Captain,Slate,Classic Navy,Gold Monocle,Bubble Pipe,Captain's Hat,None,,39.74
701,Common,,Sage,Classic Navy,Shades,None,Beanie,None,,24.72
702,Common,,Charcoal,Ocean Blue,Gold Monocle,None,Beanie,None,,32.98
703,Common,,Slate,Classic Navy,Classic,Punk Cigarette,None,Pearl String,Gold Watch,36.64
704,Common,,Sage,Ocean Blue,Laser,None,Sailor Cap,Cuban Chain,,42.7
705,Common,,Slate,Deep Sea,Classic,None,Beanie,None,Gold Watch,33.03
706,Rare,,Gold Dust,Steel,Abyss Glow,None,None,None,Coin Spout,77.5
707,Uncommon,,Slate,Midnight Black,Shades,Gold Tooth,None,Silver Chain,,58.12
708,Common,,Maroon,Classic Navy,Sleepy,None,None,Cuban Chain,,20.38
709,Common,,Gold Dust,Classic Navy,Classic,Cigar,Halo,None,,48.15
710,Uncommon,,Sage,Midnight Black,Abyss Glow,None,None,Silver Chain,,54.96
711,Uncommon,,Charcoal,Classic Navy,Laser,Punk Cigarette,None,None,Diamond Spout,52.98
712,Common,,Sage,Classic Navy,Classic,None,Sailor Cap,Silver Chain,Diamond Spout,42.02
713,Common,,Sage,Classic Navy,Classic,Punk Cigarette,Beanie,Cuban Chain,,29.87
714,Common,,Maroon,Classic Navy,Abyss Glow,None,Kelp Wrap,None,,32.05
715,Common,,Maroon,Steel,Classic,Bubble Pipe,None,Cuban Chain,,30.53
716,Uncommon,,Sage,Steel,Abyss Glow,Gold Tooth,None,None,Gold Watch|Pinky Ring,59.72
717,Uncommon,,Slate,Steel,Classic,Punk Cigarette,Beanie,None,Coin Spout,61.36
718,Common,,Charcoal,Deep Sea,Abyss Glow,Cigar,None,Silver Chain,,40.85
719,Common,,Maroon,Ocean Blue,Classic,Punk Cigarette,Captain's Hat,None,,25.72
720,Common,,Maroon,Ocean Blue,Classic,Cigar,None,Pearl String,,27.02
721,Common,,Maroon,Classic Navy,Sleepy,Punk Cigarette,Captain's Hat,Silver Chain,,38.07
722,Common,,Maroon,Steel,Abyss Glow,Bubble Pipe,None,Cuban Chain,,41.21
723,Common,,Slate,Classic Navy,Sleepy,Punk Cigarette,Sailor Cap,None,Gold Watch,39.19
724,Common,,Slate,Ocean Blue,Shades,Cigar,None,Silver Chain,,30.76
725,Common,,Maroon,Classic Navy,Classic,Cigar,None,Cuban Chain,Gold Watch,28.41
726,Common,,Slate,Ocean Blue,Classic,None,None,Silver Chain,,19.7
727,Uncommon,,Sand,Ocean Blue,Classic,Bubble Pipe,Kelp Wrap,Silver Chain,,52.65
728,Uncommon,,Maroon,Classic Navy,Gold Monocle,Gold Tooth,Halo,Pearl String,,53.28
729,Uncommon,,Sage,Deep Sea,Abyss Glow,Cigar,Halo,Cuban Chain,,50.22
730,Common,,Maroon,Classic Navy,Shades,Cigar,None,Silver Chain,,28.26
731,Rare,,Sand,Ocean Blue,Sleepy,Diamond Grill,Captain's Hat,Pearl String,,77.97
732,Common,,Slate,Classic Navy,Classic,Bubble Pipe,None,Cuban Chain,,26.36
733,Uncommon,,Charcoal,Classic Navy,Classic,Gold Tooth,Sailor Cap,Diamond Chain,,51.94
734,Common,,Sage,Classic Navy,Classic,Gold Tooth,Captain's Hat,None,,25.9
735,Common,,Slate,Arctic,Shades,None,None,None,,25.38
736,Common,,Mauve,Classic Navy,Classic,None,Captain's Hat,None,Diamond Spout,37.01
737,Common,,Sage,Classic Navy,Laser,None,None,None,Gold Watch,38.06
738,Uncommon,,Charcoal,Deep Sea,Laser,Bubble Pipe,Halo,None,,62.26
739,Common,,Maroon,Ocean Blue,Classic,None,None,None,,11.36
740,Common,,Maroon,Ocean Blue,Classic,Punk Cigarette,Kelp Wrap,Cuban Chain,,35.53
741,Common,,Maroon,Ocean Blue,Gold Monocle,Punk Cigarette,None,Pearl String,,39.82
742,Common,,Mauve,Classic Navy,Classic,Gold Tooth,None,Pearl String,,32.1
743,Common,,Sage,Steel,Shades,Cigar,Captain's Hat,None,,32.79
744,Uncommon,,Slate,Midnight Black,Shades,None,Beanie,None,Pinky Ring,66.45
745,Common,,Slate,Ocean Blue,Classic,Punk Cigarette,None,Cuban Chain,,23.03
746,Common,,Sand,Classic Navy,Classic,Cigar,None,None,,21.36
747,Common,,Charcoal,Classic Navy,Classic,Cigar,Captain's Hat,None,,23.7
748,Common,,Maroon,Arctic,Classic,None,Captain's Hat,Cuban Chain,,31.56
749,Common,,Slate,Ocean Blue,Sleepy,Gold Tooth,Beanie,None,,34.55
750,Uncommon,,Slate,Ocean Blue,Sleepy,Diamond Grill,None,None,,51.21
751,Common,,Slate,Classic Navy,Shades,None,None,Pearl String,,26.49
752,Rare,,Mauve,Ocean Blue,Sleepy,Bubble Pipe,Kelp Wrap,Diamond Chain,Emerald Stud|Gold Watch,91.67
753,Common,,Maroon,Ocean Blue,Gold Monocle,Punk Cigarette,None,None,,28.71
754,Rare,,Sand,Classic Navy,Abyss Glow,Gold Tooth,Crown,Pearl String,Emerald Stud|Coin Spout,115.28
755,Common,,Maroon,Steel,Classic,None,None,None,,13.03
756,Common,,Maroon,Midnight Black,Classic,None,Kelp Wrap,None,,47.44
757,Uncommon,,Sand,Classic Navy,Sleepy,Gold Tooth,Kelp Wrap,Silver Chain,,52.5
758,Common,,Slate,Classic Navy,Classic,Bubble Pipe,None,None,,21.36
759,Uncommon,,Mauve,Steel,Abyss Glow,Bubble Pipe,None,None,Emerald Stud,50.0
760,Common,,Maroon,Ocean Blue,Abyss Glow,Bubble Pipe,None,Cuban Chain,,39.55
761,Common,,Sage,Classic Navy,Sleepy,None,Captain's Hat,None,,24.08
762,Common,,Sage,Deep Sea,Shades,None,Kelp Wrap,Pearl String,,45.83
763,Common,,Maroon,Deep Sea,Gold Monocle,None,Captain's Hat,None,,33.07
764,Common,,Sage,Ocean Blue,Classic,Cigar,Captain's Hat,None,,24.61
765,Common,,Charcoal,Ocean Blue,Classic,None,Captain's Hat,Diamond Chain,,46.65
766,Common,,Maroon,Classic Navy,Classic,Cigar,Sailor Cap,Silver Chain,,28.89
767,Uncommon,,Sage,Classic Navy,Classic,Diamond Grill,None,None,Diamond Spout,59.87
768,Common,,Mauve,Classic Navy,Classic,Cigar,None,Cuban Chain,Gold Watch,32.2
769,Common,,Slate,Classic Navy,Shades,Bubble Pipe,Sailor Cap,None,,35.02
770,Common,,Sage,Steel,Classic,Punk Cigarette,None,None,Gold Watch,30.71
771,Common,,Mauve,Midnight Black,Classic,None,None,None,,38.72
772,Common,,Slate,Ocean Blue,Sleepy,Cigar,Sailor Cap,None,,29.57
773,Rare,,Mauve,Classic Navy,Abyss Glow,Diamond Grill,Beanie,Diamond Chain,,90.0
774,Rare,,Charcoal,Classic Navy,Shades,Diamond Grill,Sailor Cap,None,Emerald Stud|Gold Watch,78.45
775,Common,,Sand,Steel,Classic,Cigar,None,None,,25.53
776,Common,,Sage,Classic Navy,Classic,Bubble Pipe,None,None,Emerald Stud,32.37
777,Common,,Slate,Ocean Blue,Classic,Bubble Pipe,None,Cuban Chain,Pinky Ring,45.53
778,Common,,Charcoal,Ocean Blue,Classic,Bubble Pipe,None,None,Gold Watch,36.46
779,Uncommon,,Maroon,Ocean Blue,Classic,Punk Cigarette,Halo,Diamond Chain,,57.32
780,Rare,,Mauve,Classic Navy,Laser,Cigar,None,None,Gold Watch|Coin Spout,78.71
781,Common,,Mauve,Classic Navy,Classic,Punk Cigarette,None,None,,19.32
782,Common,,Mauve,Ocean Blue,Classic,Punk Cigarette,None,Cuban Chain,,26.82
783,Common,,Slate,Deep Sea,Abyss Glow,Gold Tooth,Captain's Hat,None,,41.4
784,Common,,Sage,Steel,Sleepy,Cigar,Beanie,Cuban Chain,,38.43
785,Common,,Charcoal,Classic Navy,Classic,Punk Cigarette,None,Cuban Chain,,23.13
786,Common,,Slate,Deep Sea,Classic,Gold Tooth,Sailor Cap,Pearl String,,41.28
787,Common,,Charcoal,Classic Navy,Classic,None,Beanie,None,,19.79
788,Common,,Slate,Steel,Abyss Glow,None,Captain's Hat,None,,31.4
789,Uncommon,,Slate,Steel,Sleepy,Gold Tooth,Halo,None,Gold Watch,52.16
790,Uncommon,,Sage,Arctic,Abyss Glow,Cigar,Beanie,Silver Chain,,51.77
791,Common,,Charcoal,Ocean Blue,Classic,None,None,None,,13.96
792,Common,,Slate,Deep Sea,Classic,None,Sailor Cap,None,Gold Watch,31.84
793,Common,,Sage,Ocean Blue,Classic,Cigar,Beanie,Silver Chain,,33.59
794,Common,,Sage,Classic Navy,Sleepy,None,None,None,,16.39
795,Common,,Maroon,Ocean Blue,Classic,Punk Cigarette,None,None,Pinky Ring,34.7
796,Rare,,Charcoal,Gilded,Shades,Punk Cigarette,None,Cuban Chain,,93.81
797,Uncommon,,Mauve,Arctic,Laser,None,Kelp Wrap,None,Emerald Stud,63.33
798,Common,,Charcoal,Ocean Blue,Classic,Punk Cigarette,None,None,Diamond Spout,37.29
799,Uncommon,,Sage,Classic Navy,Shades,Punk Cigarette,Kelp Wrap,None,Pinky Ring,52.22
800,Legendary,Trenchkeeper,Gold Dust,Deep Sea,Classic,None,None,Cuban Chain,,40.15
801,Common,,Slate,Classic Navy,Classic,None,Crown,None,Emerald Stud,43.86
802,Common,,Slate,Classic Navy,Classic,Gold Tooth,Captain's Hat,None,,24.89
803,Uncommon,,Sage,Ocean Blue,Gold Monocle,None,Sailor Cap,Silver Chain,Pinky Ring,55.2
804,Common,,Maroon,Steel,Classic,Bubble Pipe,None,None,,25.53
805,Uncommon,,Gold Dust,Classic Navy,Classic,Cigar,None,None,Emerald Stud|Diamond Spout,60.53
806,Common,,Maroon,Classic Navy,Classic,None,None,Diamond Chain,,33.86
807,Common,,Sage,Classic Navy,Gold Monocle,None,None,None,,20.56
808,Common,,Sand,Arctic,Classic,None,Captain's Hat,Pearl String,,45.62
809,Common,,Slate,Steel,Classic,None,Beanie,None,,21.36
810,Rare,,Mauve,Steel,Shades,Gold Tooth,Halo,Silver Chain,Emerald Stud|Gold Watch,74.29
811,Common,,Maroon,Classic Navy,Gold Monocle,Cigar,Sailor Cap,None,Emerald Stud,41.23
812,Uncommon,,Maroon,Deep Sea,Classic,Gold Tooth,Sailor Cap,None,Gold Watch|Diamond Spout,56.84
813,Uncommon,,Sand,Classic Navy,Classic,Diamond Grill,None,None,,50.15
814,Common,,Mauve,Classic Navy,Sleepy,Punk Cigarette,Beanie,None,,34.17
815,Common,,Sand,Classic Navy,Classic,Punk Cigarette,None,None,,23.48
816,Common,,Sand,Ocean Blue,Classic,None,None,Pearl String,,30.43
817,Uncommon,,Charcoal,Classic Navy,Gold Monocle,Gold Tooth,Crown,Cuban Chain,,60.48
818,Uncommon,,Gold Dust,Steel,Abyss Glow,Punk Cigarette,None,None,,50.83
819,Common,,Slate,Ocean Blue,Classic,None,Kelp Wrap,Cuban Chain,,28.86
820,Common,,Gold Dust,Classic Navy,Classic,None,Kelp Wrap,None,,41.82
821,Uncommon,,Sand,Deep Sea,Shades,None,Sailor Cap,None,Gold Watch|Diamond Spout,62.98
822,Common,,Charcoal,Steel,Classic,Punk Cigarette,Sailor Cap,None,,29.44
823,Common,,Sage,Ocean Blue,Classic,Gold Tooth,Beanie,None,,29.04
824,Common,,Maroon,Arctic,Classic,None,Kelp Wrap,None,Gold Watch,41.36
825,Common,,Slate,Ocean Blue,Gold Monocle,Cigar,Captain's Hat,None,,34.28
826,Common,,Sage,Classic Navy,Abyss Glow,Gold Tooth,Sailor Cap,None,,36.03
827,Common,,Maroon,Classic Navy,Classic,Cigar,None,Cuban Chain,,18.41
828,Common,,Charcoal,Classic Navy,Classic,None,None,Cuban Chain,Emerald Stud|Pinky Ring,43.13
829,Common,,Slate,Ocean Blue,Gold Monocle,None,None,None,,22.05
830,Rare,,Charcoal,Classic Navy,Shades,Bubble Pipe,Halo,Silver Chain,Emerald Stud|Gold Watch,73.1
831,Common,,Charcoal,Classic Navy,Gold Monocle,Cigar,Kelp Wrap,None,,39.19
832,Uncommon,,Slate,Ocean Blue,Sleepy,Diamond Grill,Captain's Hat,None,,58.9
833,Uncommon,,Maroon,Classic Navy,Sleepy,None,Halo,Cuban Chain,Diamond Spout,51.33
834,Common,,Sand,Deep Sea,Classic,Punk Cigarette,None,None,,29.32
835,Common,,Charcoal,Classic Navy,Shades,None,Crown,None,,42.98
836,Common,,Charcoal,Classic Navy,Abyss Glow,Punk Cigarette,Beanie,Silver Chain,,45.48
837,Uncommon,,Sage,Midnight Black,Classic,None,Halo,None,,50.23
838,Rare,,Charcoal,Gilded,Sleepy,Gold Tooth,Captain's Hat,None,,98.17
839,Uncommon,,Sand,Classic Navy,Gold Monocle,Bubble Pipe,Kelp Wrap,None,,52.5
840,Common,,Sage,Steel,Gold Monocle,Cigar,None,Silver Chain,,37.6
841,Common,,Maroon,Steel,Classic,Punk Cigarette,None,None,,19.7
842,Common,,Slate,Ocean Blue,Abyss Glow,None,None,Pearl String,,33.16
843,Common,,Sage,Deep Sea,Classic,None,None,None,,15.71
844,Common,,Mauve,Steel,Sleepy,None,Beanie,Silver Chain,,40.0
845,Uncommon,,Slate,Deep Sea,Laser,Cigar,None,Diamond Chain,Emerald Stud,72.42
846,Uncommon,,Mauve,Classic Navy,Laser,None,Crown,None,,55.83
847,Common,,Maroon,Ocean Blue,Sleepy,None,None,Cuban Chain,,22.88
848,Uncommon,,Gold Dust,Steel,Classic,Punk Cigarette,None,Cuban Chain,Gold Watch,55.15
849,Common,,Sage,Steel,Sleepy,Cigar,Sailor Cap,None,,32.24
850,Uncommon,,Maroon,Deep Sea,Sleepy,None,Kelp Wrap,Silver Chain,Emerald Stud,52.05
851,Common,,Sage,Classic Navy,Classic,Punk Cigarette,Beanie,Silver Chain,,33.21
852,Common,,Maroon,Classic Navy,Classic,None,Kelp Wrap,Cuban Chain,,26.36
853,Uncommon,,Charcoal,Classic Navy,Sleepy,Bubble Pipe,Halo,Silver Chain,,53.1
854,Uncommon,,Slate,Deep Sea,Sleepy,None,None,None,Diamond Spout|Coin Spout,71.21
855,Uncommon,,Charcoal,Arctic,Classic,Diamond Grill,Sailor Cap,Pearl String,,73.05
856,Common,,Mauve,Classic Navy,Classic,Punk Cigarette,None,Silver Chain,,27.65
857,Common,,Slate,Classic Navy,Gold Monocle,Punk Cigarette,Captain's Hat,None,,33.9
858,Common,,Charcoal,Classic Navy,Classic,Cigar,Crown,None,,41.01
859,Common,,Slate,Classic Navy,Classic,Cigar,None,Silver Chain,,21.74
860,Common,,Charcoal,Ocean Blue,Classic,Punk Cigarette,None,None,,20.63
861,Uncommon,,Sage,Classic Navy,Classic,None,Beanie,None,Coin Spout,51.54
862,Common,,Sage,Ocean Blue,Shades,Cigar,None,Cuban Chain,,28.43
863,Common,,Slate,Classic Navy,Classic,Cigar,None,None,Pinky Ring,30.08
864,Common,,Sand,Ocean Blue,Sleepy,None,None,Cuban Chain,,30.83
865,Common,,Sage,Classic Navy,Shades,Punk Cigarette,None,Silver Chain,,31.39
866,Common,,Slate,Classic Navy,Classic,None,Crown,Cuban Chain,,38.86
867,Common,,Sage,Deep Sea,Classic,Punk Cigarette,None,None,,22.37
868,Uncommon,,Maroon,Midnight Black,Sleepy,Bubble Pipe,Captain's Hat,None,,61.64
869,Common,,Maroon,Steel,Abyss Glow,None,Captain's Hat,None,,31.4
870,Common,,Slate,Classic Navy,Classic,None,None,Silver Chain,,17.2
871,Common,,Mauve,Steel,Classic,Gold Tooth,None,None,,25.15
872,Uncommon,,Sage,Classic Navy,Laser,Cigar,None,Pearl String,Pinky Ring,60.38
873,Common,,Sand,Ocean Blue,Classic,None,Beanie,Silver Chain,,35.98
874,Common,,Slate,Deep Sea,Classic,Cigar,Captain's Hat,None,Pinky Ring,43.6
875,Uncommon,,Maroon,Deep Sea,Gold Monocle,None,Halo,Silver Chain,Diamond Spout,64.66
876,Common,,Sand,Classic Navy,Abyss Glow,Punk Cigarette,None,None,,34.17
877,Uncommon,,Sage,Arctic,Classic,Diamond Grill,None,None,,53.21
878,Common,,Slate,Steel,Gold Monocle,Cigar,Sailor Cap,None,,35.4
879,Uncommon,,Maroon,Steel,Shades,Gold Tooth,Captain's Hat,None,Pinky Ring,52.24
880,Rare,,Slate,Steel,Sleepy,None,Crown,Diamond Chain,Emerald Stud,79.55
881,Common,,Sand,Classic Navy,Gold Monocle,None,None,Silver Chain,,35.83
882,Common,,Sage,Classic Navy,Classic,Cigar,None,Diamond Chain,,39.42
883,Common,,Mauve,Steel,Classic,Punk Cigarette,Sailor Cap,None,Pinky Ring,47.29
884,Common,,Sage,Classic Navy,Classic,Gold Tooth,Sailor Cap,None,,25.35
885,Common,,Slate,Classic Navy,Shades,None,None,None,Emerald Stud,25.38
886,Common,,Maroon,Ocean Blue,Shades,None,None,None,,17.88
887,Common,,Mauve,Steel,Classic,Bubble Pipe,Sailor Cap,None,,36.46
888,Common,,Sage,Ocean Blue,Abyss Glow,None,Sailor Cap,Pearl String,,41.31
889,Common,,Maroon,Steel,Gold Monocle,Punk Cigarette,Kelp Wrap,None,,42.88
890,Common,,Slate,Classic Navy,Shades,Punk Cigarette,None,None,,22.05
891,Common,,Sage,Ocean Blue,Classic,None,Kelp Wrap,Cuban Chain,,29.87
892,Common,,Sage,Deep Sea,Shades,Bubble Pipe,Halo,None,,49.01
893,Common,,Charcoal,Arctic,Classic,None,Captain's Hat,None,Gold Watch,39.15
894,Uncommon,,Charcoal,Classic Navy,Classic,Bubble Pipe,Kelp Wrap,None,Pinky Ring,53.13
895,Common,,Maroon,Deep Sea,Classic,None,Sailor Cap,None,Emerald Stud,31.84
896,Common,,Maroon,Ocean Blue,Laser,Punk Cigarette,None,Pearl String,,47.32
897,Common,,Maroon,Classic Navy,Gold Monocle,None,None,Cuban Chain,,24.55
898,Common,,Sand,Steel,Classic,Cigar,Halo,None,Emerald Stud,49.82
899,Common,,Charcoal,Classic Navy,Sleepy,Cigar,None,None,,22.52
900,Legendary,Laser Leviathan,Charcoal,Midnight Black,Laser,None,None,None,,55.71
901,Common,,Mauve,Classic Navy,Classic,None,Sailor Cap,Pearl String,Diamond Spout,47.57
902,Common,,Slate,Classic Navy,Gold Monocle,Bubble Pipe,Halo,None,,46.33
903,Rare,,Gold Dust,Gilded,Sleepy,None,None,None,,100.0
904,Common,,Maroon,Arctic,Classic,Cigar,Sailor Cap,Cuban Chain,,35.55
905,Uncommon,,Charcoal,Deep Sea,Classic,Gold Tooth,Crown,Cuban Chain,Diamond Spout,72.29
906,Common,,Gold Dust,Classic Navy,Classic,None,None,None,,29.32
907,Common,,Maroon,Classic Navy,Shades,Bubble Pipe,Sailor Cap,None,,35.02
908,Uncommon,,Maroon,Classic Navy,Classic,Diamond Grill,Sailor Cap,Silver Chain,,57.67
909,Common,,Mauve,Classic Navy,Classic,None,None,Cuban Chain,Emerald Stud,27.65
910,Common,,Charcoal,Deep Sea,Classic,Cigar,None,None,,21.84
911,Common,,Slate,Arctic,Classic,Gold Tooth,Kelp Wrap,None,,39.7
912,Uncommon,,Mauve,Ocean Blue,Sleepy,Cigar,None,None,Coin Spout,59.55
913,Uncommon,,Gold Dust,Ocean Blue,Classic,Gold Tooth,Kelp Wrap,None,,52.65
914,Common,,Mauve,Classic Navy,Classic,Punk Cigarette,None,Cuban Chain,,24.32
915,Common,,Slate,Classic Navy,Laser,Punk Cigarette,Kelp Wrap,None,,46.21
916,Common,,Charcoal,Ocean Blue,Gold Monocle,None,Beanie,Silver Chain,,41.31
917,Common,,Sage,Midnight Black,Classic,Gold Tooth,None,None,,44.28
918,Common,,Maroon,Classic Navy,Classic,Gold Tooth,None,None,,17.2
919,Common,,Charcoal,Classic Navy,Shades,Gold Tooth,Sailor Cap,None,,33.45
920,Uncommon,,Charcoal,Ocean Blue,Shades,Cigar,Crown,None,,50.02
921,Common,,Sage,Deep Sea,Classic,None,Kelp Wrap,None,,28.21
922,Common,,Sand,Deep Sea,Classic,Punk Cigarette,Captain's Hat,Cuban Chain,,42.01
923,Common,,Slate,Arctic,Classic,None,Halo,Pearl String,,44.26
924,Common,,Charcoal,Classic Navy,Gold Monocle,None,None,Cuban Chain,,27.14
925,Common,,Slate,Classic Navy,Classic,None,Halo,None,,23.15
926,Common,,Slate,Steel,Sleepy,Cigar,None,Pearl String,Gold Watch,45.2
927,Common,,Slate,Ocean Blue,Shades,Punk Cigarette,None,Cuban Chain,,29.55
928,Uncommon,,Maroon,Steel,Classic,None,None,Cuban Chain,Coin Spout,51.36
929,Uncommon,,Mauve,Arctic,Sleepy,None,Halo,None,Gold Watch,53.45
930,Common,,Sage,Deep Sea,Classic,Punk Cigarette,Sailor Cap,None,,29.52
931,Common,,Charcoal,Classic Navy,Classic,Punk Cigarette,None,None,,18.13
932,Uncommon,,Charcoal,Deep Sea,Classic,Diamond Grill,None,Silver Chain,,58.96
933,Common,,Maroon,Steel,Classic,Bubble Pipe,Beanie,None,,33.86
934,Uncommon,,Mauve,Arctic,Sleepy,Punk Cigarette,Sailor Cap,None,Gold Watch,52.98
935,Uncommon,,Gold Dust,Ocean Blue,Sleepy,Cigar,Beanie,Silver Chain,,59.55
936,Uncommon,,Slate,Steel,Sleepy,None,None,Silver Chain,Emerald Stud|Diamond Spout,54.55
937,Common,,Sage,Classic Navy,Gold Monocle,Punk Cigarette,None,None,,27.22
938,Common,,Maroon,Deep Sea,Classic,Cigar,Sailor Cap,None,,26.39
939,Common,,Charcoal,Ocean Blue,Classic,Cigar,Sailor Cap,None,Gold Watch,35.65
940,Common,,Charcoal,Deep Sea,Sleepy,None,None,Cuban Chain,,28.81
